open,high,low,close,volume
2013-05-22,2303.75,2314.18,2292.43,2302.4,128360026.0
2013-05-23,2293.81,2304.95,2274.1,2275.67,124019844.0
2013-05-24,2281.45,2292.59,2270.25,2288.53,101441213.0
2013-05-27,2286.66,2301.7,2283.94,2293.08,107325061.0
2013-05-28,2293.4,2322.1,2281.47,2321.32,132632995.0
2013-05-29,2323.54,2334.33,2321.17,2324.02,125250729.0
2013-05-30,2316.25,2325.72,2310.49,2317.75,111913032.0
2013-05-31,2320.74,2325.53,2299.37,2300.59,108162554.0
2013-06-03,2300.21,2313.43,2294.11,2299.25,96882814.0
2013-06-04,2297.1,2297.1,2264.76,2272.42,101895818.0
2013-06-05,2270.71,2276.86,2260.87,2270.93,76483303.0
2013-06-06,2264.43,2266.69,2240.07,2242.11,81538694.0
2013-06-07,2242.26,2250.63,2205.07,2210.9,89978077.0
2013-06-13,2190.1,2190.1,2126.22,2148.35,94371094.0
2013-06-14,2150.06,2163.85,2142.78,2162.04,77857472.0
2013-06-17,2165.99,2169.36,2147.03,2156.22,75757790.0
2013-06-18,2158.55,2161.68,2138.35,2159.29,69632271.0
2013-06-19,2150.82,2150.82,2115.79,2143.45,75425016.0
2013-06-20,2132.81,2132.81,2082.82,2084.02,77787930.0
2013-06-21,2058.98,2085.86,2042.88,2073.09,79673224.0
2013-06-24,2068.86,2068.86,1958.4,1963.23,109198215.0
2013-06-25,1948.31,1963.57,1849.65,1959.51,138158516.0
2013-06-26,1954.47,1959.16,1922.82,1951.49,101192527.0
2013-06-27,1955.13,1980.54,1942.37,1950.01,105813318.0
2013-06-28,1935.52,1987.98,1925.65,1979.21,100737968.0
2013-07-01,1965.99,1995.92,1957.57,1995.24,78051393.0
2013-07-02,1992.89,2007.62,1978.43,2006.56,86415418.0
2013-07-03,1996.51,1996.54,1965.52,1994.27,93466471.0
2013-07-04,1982.87,2022.14,1974.1,2006.1,100394183.0
2013-07-05,2006.19,2021.54,2002.37,2007.2,91345222.0
2013-07-08,1983.21,1983.21,1953.12,1958.27,84136491.0
2013-07-09,1953.6,1969.15,1946.37,1965.45,64538733.0
2013-07-10,1962.84,2009.36,1960.28,2008.13,89797981.0
2013-07-11,2011.02,2092.87,2010.4,2072.99,159970773.0
2013-07-12,2068.04,2074.86,2036.05,2039.49,121174175.0
2013-07-15,2046.12,2076.67,2037.25,2059.39,101470357.0
2013-07-16,2054.6,2066.36,2038.54,2065.72,96737399.0
2013-07-17,2061.19,2075.81,2043.23,2044.92,103251321.0
2013-07-18,2038.4,2043.37,2016.9,2023.4,92132049.0
2013-07-19,2025.32,2035.22,1990.25,1992.65,104577571.0
2013-07-22,1977.73,2005.47,1970.64,2004.76,82922190.0
2013-07-23,2008.95,2051.53,2005.09,2043.88,109517360.0
2013-07-24,2035.69,2042.77,2010.42,2033.33,106655779.0
2013-07-25,2037.34,2045.36,2016.43,2021.17,98545366.0
2013-07-26,2013.19,2021.57,2000.8,2010.85,73800429.0
2013-07-29,1997.84,1997.84,1969.85,1976.31,78683274.0
2013-07-30,1981.45,2006.23,1965.36,1990.06,77219784.0
2013-07-31,2000.79,2015.47,1987.88,1993.8,70160603.0
2013-08-01,2000.82,2029.93,1997.06,2029.07,91256686.0
2013-08-02,2039.51,2047.08,2025.65,2029.42,93592767.0
2013-08-05,2031.72,2050.91,2025.23,2050.48,85517968.0
2013-08-06,2043.65,2066.74,2034.96,2060.5,105580975.0
2013-08-07,2056.37,2069.56,2043.75,2046.78,107712594.0
2013-08-08,2044.44,2058.56,2037.25,2044.9,84133290.0
2013-08-09,2052.24,2061.71,2030.13,2052.24,95316423.0
2013-08-12,2058.42,2102.35,2055.72,2101.28,135128974.0
2013-08-13,2101.32,2106.4,2093.8,2106.16,117708875.0
2013-08-14,2109.23,2122.97,2093.04,2100.14,114437802.0
2013-08-15,2099.28,2108.41,2079.97,2081.88,99396656.0
2013-08-16,2075.98,2198.85,2061.65,2068.45,153063326.0
2013-08-19,2055.13,2091.13,2052.7,2085.6,97446783.0
2013-08-20,2081.97,2098.98,2066.07,2072.59,107381773.0
2013-08-21,2076.27,2076.32,2056.91,2072.96,87445991.0
2013-08-22,2069.31,2083.33,2062.37,2067.12,90928307.0
2013-08-23,2075.93,2079.85,2029.36,2057.46,112426351.0
2013-08-26,2061.42,2097.34,2056.13,2096.47,119932652.0
2013-08-27,2095.44,2105.38,2090.43,2103.57,126341966.0
2013-08-28,2092.31,2113.82,2080.86,2101.3,161392026.0
2013-08-29,2108.44,2110.89,2088.24,2097.23,133268219.0
2013-08-30,2097.22,2114.39,2089.09,2098.38,170075649.0
2013-09-02,2104.09,2108.68,2078.46,2098.45,149158524.0
2013-09-03,2100.45,2123.85,2095.46,2123.11,138893175.0
2013-09-04,2121.68,2133.0,2115.75,2127.62,142000386.0
2013-09-05,2125.25,2127.85,2115.24,2122.43,126544104.0
2013-09-06,2119.33,2143.24,2119.02,2139.99,143260660.0
2013-09-09,2151.35,2218.53,2151.35,2212.52,219427086.0
2013-09-10,2214.81,2238.55,2202.82,2237.98,237206649.0
2013-09-11,2244.96,2258.07,2233.0,2241.27,244349455.0
2013-09-12,2236.17,2270.27,2226.29,2255.6,209715110.0
2013-09-13,2251.46,2259.42,2228.48,2236.22,171984229.0
2013-09-16,2244.46,2248.47,2226.17,2231.4,154884020.0
2013-09-17,2230.39,2230.93,2184.92,2185.56,154542555.0
2013-09-18,2185.94,2195.9,2172.04,2191.85,115111887.0
2013-09-23,2199.36,2223.07,2198.34,2221.04,133174858.0
2013-09-24,2219.47,2219.54,2187.24,2207.53,160415055.0
2013-09-25,2206.23,2217.97,2193.72,2198.51,160212762.0
2013-09-26,2192.23,2192.23,2154.72,2155.81,140415346.0
2013-09-27,2150.96,2165.78,2149.59,2160.03,105401788.0
2013-09-30,2167.73,2176.3,2165.16,2174.67,92810081.0
2013-10-08,2171.9,2200.02,2161.49,2198.2,126710203.0
2013-10-09,2191.39,2212.35,2185.18,2211.77,130871737.0
2013-10-10,2214.41,2214.59,2186.48,2190.93,149775896.0
2013-10-11,2201.41,2228.87,2200.53,2228.15,156892176.0
2013-10-14,2232.22,2242.98,2226.4,2237.77,165983386.0
2013-10-15,2237.93,2240.25,2221.14,2233.41,153722825.0
2013-10-16,2228.11,2228.11,2183.4,2193.07,154638637.0
